Step,AgentID,Citizen Coordinates,Citizen Position,Health
0,Citizen_17604,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17605,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17606,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17607,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17608,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17609,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17610,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17611,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17612,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17613,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17614,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17615,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17616,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17617,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17618,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17619,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17620,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17621,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17622,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17623,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17624,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17625,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17626,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17627,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17628,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17629,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17630,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17631,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17632,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17633,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17634,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17635,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17636,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17637,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17638,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17639,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17640,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17641,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17642,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17643,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17644,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17645,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17646,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17647,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17648,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17649,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17650,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17651,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17652,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17653,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17654,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17655,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17656,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17657,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17658,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17659,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17660,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17661,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17662,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17663,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17664,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17665,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17666,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17667,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17668,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17669,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17670,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17671,"(24148.76535, 3056.12757)",13608,13
