node,x,y
344,28451.60165,9401.29616
345,28365.73597,9371.51393
346,28229.60165,9324.29616
347,28207.03548,9315.69953
348,28577.60165,8645.29616
349,28660.60165,8657.29616
350,28815.99287,8680.64312
351,28863.60165,8687.79616
352,28872.82531,8689.12998
353,28966.91084,8702.73548
354,29067.60165,8717.29616
355,29069.98452,8717.62484
356,29096.60165,8721.29616
357,29119.60165,8726.79616
358,29154.60165,8734.79616
359,29223.60165,8744.79616
360,29275.60165,8752.79616
361,29316.43318,8758.38364
362,29323.10165,8759.29616
363,29368.48948,8765.23981
364,29393.56933,8768.52407
365,29407.10165,8770.29616
366,29479.67479,8781.18214
367,29681.45555,8811.44925
368,29767.10165,8824.29616
369,28947.76861,9544.24949
370,28937.60165,9512.29616
371,28898.10165,9389.79616
372,28890.91064,9370.65127
373,28859.60165,9287.29616
374,28845.47236,9250.5213
375,28823.10165,9192.29616
376,28820.64199,9185.37029
377,28785.10165,9085.29616
378,28780.28384,9073.39334
379,28759.60165,9022.29616
380,28738.52995,8966.43167
381,28738.10165,8965.29616
382,28705.60165,8885.29616
383,28695.60165,8859.29616
384,28675.91475,8808.52471
385,28667.10165,8785.79616
386,28657.60165,8762.79616
387,28653.10165,8751.79616
388,28638.10165,8731.79616
389,28633.24164,8726.56231
390,28612.10165,8703.79616
391,28557.10165,8646.79616
392,29087.25139,11416.62149
393,29088.10165,11396.29616
394,29089.43217,11381.66871
395,29092.60165,11369.79616
396,29120.55011,11299.7032
397,29124.10165,11290.79616
398,29174.60165,11168.29616
399,29204.60165,11092.29616
400,29289.60165,10882.79616
401,29331.78301,10778.58339
402,29357.60165,10714.79616
403,29378.46592,10670.23178
404,29388.77229,10652.9662
405,29394.22779,10643.82698
406,29403.05756,10613.44461
407,29407.10165,10591.29616
408,29411.60165,10564.29616
409,29414.60165,10531.79616
410,29414.60165,10517.79616
411,29415.20659,10486.31969
412,29405.94568,10438.89039
413,29394.21345,10390.24442
414,29374.72087,10359.62409
415,29362.10165,10345.79616
416,29302.10165,10295.29616
417,29260.60165,10261.79616
418,29249.60165,10252.29616
419,29225.60165,10226.79616
420,29199.10165,10184.29616
421,29197.59194,10181.74853
422,29191.10165,10170.79616
423,29169.60165,10129.29616
424,29123.60165,10042.29616
425,29122.6828,10040.20906
426,29088.60165,9962.79616
427,29061.60165,9909.79616
428,29036.10165,9826.79616
429,29013.10165,9751.79616
430,28979.10165,9644.29616
431,27084.12144,11945.24862
432,27226.10165,11941.79616
433,27258.10165,11942.29616
434,27326.99512,11947.79074
435,27339.60165,11948.79616
436,27391.10165,11953.29616
437,27429.10165,11955.29616
438,27471.60165,11954.79616
439,27478.34721,11954.59776
440,27522.60165,11953.29616
441,27557.10165,11949.79616
442,27574.10165,11945.29616
443,27672.10165,11872.29616
444,27679.60165,11866.79616
445,27747.60165,11814.79616
446,27767.76292,11799.47359
447,27797.60165,11776.79616
448,27815.10165,11764.79616
449,27833.10165,11755.29616
450,27851.10165,11748.29616
451,27859.10165,11744.79616
452,27951.10165,11725.79616
453,28016.60165,11712.29616
454,28027.10165,11714.29616
455,28031.10165,11717.29616
456,28037.60165,11734.79616
457,27061.71054,11212.61234
458,27326.79599,11267.29616
459,27383.60165,11296.79616
460,27424.10165,11323.29616
461,27495.10165,11320.29616
462,27571.60165,11316.79616
463,27571.10165,11328.29616
464,27752.60165,11336.29616
465,27756.35165,11271.79616
466,27760.10165,11207.29616
467,27760.10165,11201.53969
468,27760.10165,11184.79616
469,27067.91289,11415.37377
470,27067.91981,11415.36967
471,26857.60165,11500.29616
472,26899.60165,11495.29616
473,26956.60165,11479.29616
474,26962.60165,11477.79616
475,29133.60165,8122.79616
476,29170.60165,8200.79616
477,29174.60165,8207.29616
478,29186.60165,8221.29616
479,29193.10165,8225.79616
480,29202.10165,8231.79616
481,29210.10165,8234.79616
482,29217.10165,8236.29616
483,29230.60165,8237.79616
484,29237.10165,8237.79616
485,29247.10165,8236.29616
486,29255.10165,8234.29616
487,29265.10165,8229.79616
488,29272.60165,8223.79616
489,29278.69921,8218.91811
490,29287.10165,8209.79616
491,29291.10165,8203.29616
492,29295.60165,8194.29616
493,29298.60165,8185.79616
494,29300.60165,8178.29616
495,29300.60165,8164.29616
496,29299.10165,8152.79616
497,29297.60165,8147.79616
498,29295.10165,8139.79616
499,29291.10165,8131.29616
500,29286.33378,8125.40647
501,29281.10165,8118.29616
502,29272.60165,8110.79616
503,29260.60165,8102.79616
504,29253.60165,8099.79616
505,29244.10165,8095.79616
506,29228.60165,8092.29616
507,29215.10165,8090.79616
508,29201.60165,8092.29616
509,29145.94982,8115.60654
510,27301.60165,10095.79616
511,28201.60165,9322.29616
512,28177.27283,9348.27904
513,28054.60165,9478.79616
514,27901.60165,9633.29616
515,27878.10165,9650.29616
516,27359.19312,10059.4111
517,28454.60165,8676.79616
518,28444.25423,8692.89214
519,28441.10165,8697.79616
520,28432.10165,8715.79616
521,28419.10165,8755.79616
522,28368.46249,8960.61333
523,28336.10165,9046.29616
524,28256.13283,9243.78167
525,28232.60165,9285.79616
526,28210.64571,9311.31672
527,28992.0385,8186.19561
528,28970.60165,8195.79616
529,28868.10165,8265.79616
530,28825.10165,8304.79616
531,28819.85165,8310.79616
532,28814.60165,8316.79616
533,28809.61079,8322.44371
534,28795.60165,8338.29616
535,28569.10165,8560.29616
536,29107.60165,11424.79616
537,27855.4567,10922.0327
538,27863.64952,10925.21112
539,27871.60165,10928.29616
540,27199.19734,10662.62234
541,27209.60165,10666.79616
542,27345.34175,10720.85328
543,27431.59546,10755.20294
544,27476.20152,10772.96685
545,27536.30694,10796.90322
546,27636.95553,10836.9855
547,26482.95335,9413.86372
548,26485.10165,9419.79616
549,26497.58111,9478.85674
550,26522.64653,9597.48183
551,26540.74844,9683.15129
552,26559.24196,9770.67413
553,26578.60165,9862.29616
554,26578.87828,9863.74
555,26593.62359,9940.70102
556,26615.27079,10053.68541
557,26656.10165,10266.79616
558,26668.10165,10335.79616
559,26671.90226,10351.87569
560,26674.60165,10363.29616
561,26678.60165,10377.79616
562,26686.60165,10397.29616
563,26715.60165,10441.79616
564,26734.10165,10459.79616
565,26751.60165,10475.29616
566,26760.60165,10482.29616
567,26779.60165,10494.29616
568,26889.58731,10538.41832
569,27040.35379,10598.90022
570,27054.83258,10604.70857
571,26380.19389,9117.07957
572,26410.04341,9207.21635
573,26430.60165,9269.29616
574,26458.47585,9346.26988
575,26483.10165,9413.79616
576,26540.60165,9392.79616
577,26586.85846,9376.63948
578,26645.10165,9356.29616
579,26669.60165,9343.29616
580,26775.55041,9289.32829
581,26782.95449,9285.55682
582,26886.16294,9232.9848
583,25617.10165,9804.79616
584,25631.10165,9798.29616
585,25793.09433,9726.72355
586,25953.06621,9656.04378
587,25968.85305,9649.06874
588,25970.60165,9648.29616
589,26043.89742,9614.67931
590,26109.11551,9584.76725
591,26136.85165,9572.04616
592,26271.22859,9510.41463
593,26303.10165,9495.79616
594,26407.87826,9448.06459
595,25199.32964,9871.24206
596,25303.10165,9851.79616
597,25376.10165,9839.29616
598,25503.10165,9823.79616
599,25568.93645,9816.32555
600,25573.60165,9815.79616
601,25602.10165,9810.29616
